KEY	VALUE	COMMENTS
__id	en
__name	Türkçe
button.play	Oyna
button.ok	Tamam
button.cancel	İptal
button.loc	<sprite name="ui location">
button.close	Kapat
button.continue	Devam Et
button.install	Kur
button.build	İnşa
button.start	Başlat
button.confirm	Onayla
button.decline	Reddet
button.dontshow	Tekrar Gösterme
button.endgame-continue	Oynamaya Devam Et
button.xclose	X
button.qmark	?
button.info	i
button.back	<<
autosave.filename	Otomatik Kaydetme
	;; date/time
datetime.format.s.0	{month} {dayth}				;; August 1st
datetime.format.l.0	{month} {dayth}, {year}
datetime.format.s.1	{month} {day}				;; August 1
datetime.format.l.1	{month} {day}, {year}
datetime.format.s.2	{day} {month}				;; 1 August
datetime.format.l.2	{day} {month} {year}
datetime.min	N/A
datetime.max	N/A
datetime.month.1	Ocak
datetime.month.2	Şubat
datetime.month.3	Mart
datetime.month.4	Nisan
datetime.month.5	Mayıs
datetime.month.6	Haziran
datetime.month.7	Temmuz
datetime.month.8	Ağustos
datetime.month.9	Eylül
datetime.month.10	Ekim
datetime.month.11	Kasım
datetime.month.12	Aralık
datetime.day.1	1
datetime.day.2	2
datetime.day.3	3
datetime.day.4	4
datetime.day.5	5
datetime.day.6	6
datetime.day.7	7
datetime.day.8	8
datetime.day.9	9
datetime.day.10	10
datetime.day.11	11
datetime.day.12	12
datetime.day.13	13
datetime.day.14	14
datetime.day.15	15
datetime.day.16	16
datetime.day.17	17
datetime.day.18	18
datetime.day.19	19
datetime.day.20	20
datetime.day.21	21
datetime.day.22	22
datetime.day.23	23
datetime.day.24	24
datetime.day.25	25
datetime.day.26	26
datetime.day.27	27
datetime.day.28	28
datetime.day.29	29
datetime.day.30	30
datetime.day.31	31
	;; ui dialogs
ui.check	<sprite name="ui check">
ui.cross	<sprite name="ui cross">
ui.dot	·
ui.clock	<sprite name="ui clock">
ui.iconline	{icon}<indent=20>{text}</indent>
ui.convoline	{icon}<indent=40>{text}</indent>
ui.checkline	<sprite name="ui check"><indent=20>{text}</indent>
ui.crossline	<sprite name="ui cross"><indent=20>{text}</indent>
ui.cash	<sprite name="res cash">
ui.ticket	<sprite name="ui tickets">
ui.ticketsp	<sprite name="ui tickets special">
ui.affiliate	<sprite name="ui biz associate">
ui.affiliate.desc	Ortak. Bu kişinin sizinle iş yapma konusunda uzun bir geçmişi var ve yıllardır size en az {level} iyilik borçlu. 
ui.favors-avail	+{num} <sprite name="ui tickets"> İyilikler
ui.favors-avail.1	+{num} <sprite name="ui tickets"> İyilik
ui.favors-accrued	<b>Biriken: {favors}</b>
ui.skill-favor	<sprite name="ui skills">
ui.crew-boss	<sprite name="ui boss">
