KEY	VALUE	COMMENTS
__id	en
		;; encyclopedia
pedia.dialog.title	Yasadışı Ansiklopedi
pedia.dialog.default-text	Daha fazla bilgi edinmek için soldaki konulardan birini seçin. Bir konuyu daha derinlemesine incelemek için bağlantıları izleyin.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	Kaynaklar
pedia.cat.businesses	İşyeri Türleri
pedia.cat.skills	Yetenekler
pedia.cat.gameplay	Oynanış
						   
pedia.cat.others	Diğer
		;; encyclopedia topics
		;; for a topic named "xyz" its lockey is "info.xyz.desc" 
		;; and (optional) icon is "info.xyz.icon" 
		;; all topics must be listed inside some category!
info.resources.name	Kaynaklar
info.resources.desc	Aldığınız, sattığınız, üretim ve inşaat için kullandığınız şeyler. Kaynaklar birkaç çeşittir.\n\nYasal kaynaklar, ekibiniz hakkında bilgi sahibi olduğu sürece herkesten satın alınabilir.\n\n Yasa dışı kaynaklar, belirli bir kişiyle satılmadan önce bir miktar <sprite name="ui pip social"> <link="relationships">güven düzeyi</link> gerektirir.\n\nBildiğiniz <link="businesses">işletmelerin</link>, <sprite name="map resources HUD"> kaynak haritası </link> yerleşiminde ekibinizin keşfettiği kaynakları sattığını görebilirsiniz.\n\nEkibiniz daha fazla <sprite name="ui skills"> <link="skills">beceri</link> öğrendikçe, <sprite name="ui tickets"> <link="favors">iyilikleri</link> kullandıkça veya <sprite name="ui quests"> <link="missions">görevleri</link> tamamladıkça açılmayı bekleyen kaynaklar ve fırsatlarla şehrin dolu olduğunu keşfedeceksiniz.\n\n<i><indent=30>Türkçe Çeviri</indent></i>\n<indent=40>Bitlikutu.com</indent>
info.fake-beer.icon	<sprite name="res fake-beer">
info.fake-beer.name	Kaçak Bira
