Code journal;Date;N° Pièce;Désignation;Montant Net;Montant Brut;Compte;Compte;Taxe;Expiration
VE;14012025;A25-0012;Avoir HAS MARKET;56.76;0;411005321;4110000;;14012025
VE;14012025;A25-0012;Avoir HAS MARKET;0;53.8;;7070000;;14012025
VE;14012025;A25-0012;Avoir HAS MARKET;0;2.96;;4457151;;14012025
VE;14012025;A25-0013;Avoir ESSAADA BOUCHERIE SAINT LOUIS;257.87;0;411ESAADA;4110000;;14012025
VE;14012025;A25-0013;Avoir ESSAADA BOUCHERIE SAINT LOUIS;0;244.43;;7070000;;14012025
VE;14012025;A25-0013;Avoir ESSAADA BOUCHERIE SAINT LOUIS;0;13.44;;4457151;;14012025
VE;14012025;A25-0014;Avoir PROMO MARCHE;767.51;0;411002082;4110000;;14012025
VE;14012025;A25-0014;Avoir PROMO MARCHE;0;727.5;;7070000;;14012025
VE;14012025;A25-0014;Avoir PROMO MARCHE;0;40.01;;4457151;;14012025
VE;14012025;F25-00688;Facture LES FRERES BOUCHERS;0;10;411005082;4110000;;04022025
VE;14012025;F25-00688;Facture LES FRERES BOUCHERS;10;0;;7087000;;04022025
VE;14012025;F25-00689;Facture RACH-KAM;0;40;411005027;4110000;;04022025
VE;14012025;F25-00689;Facture RACH-KAM;40;0;;7087000;;04022025
VE;15012025;F25-00690;Facture AL-SHAHBA HAME;0;5185.24;411005414;4110000;;05022025
VE;15012025;F25-00690;Facture AL-SHAHBA HAME;5185.24;0;;7079200;;05022025
VE;15012025;F25-00691;Facture ENSAR MARKET GmbH;0;408.2;411ENSADE;4110000;;02022025
VE;15012025;F25-00691;Facture ENSAR MARKET GmbH;408.2;0;;7079120;;02022025
VE;16012025;A25-0015;Avoir BAYMAR BOUCHERIE;84.35;0;411BAYMAR;4110000;;16012025
VE;16012025;A25-0015;Avoir BAYMAR BOUCHERIE;0;79.95;;7070000;;16012025
VE;16012025;A25-0015;Avoir BAYMAR BOUCHERIE;0;4.4;;4457151;;16012025
VE;16012025;A25-0016;Avoir EL GAMAH BOUCHERIE;41.15;0;411BOU022;4110000;;16012025
VE;16012025;A25-0016;Avoir EL GAMAH BOUCHERIE;0;39;;7070000;;16012025
VE;16012025;A25-0016;Avoir EL GAMAH BOUCHERIE;0;2.15;;4457151;;16012025
VE;16012025;A25-0017;Avoir NADO BOUCHERIE;218.75;0;411NADO68;4110000;;16012025
VE;16012025;A25-0017;Avoir NADO BOUCHERIE;0;207.35;;7070000;;16012025
VE;16012025;A25-0017;Avoir NADO BOUCHERIE;0;11.4;;4457151;;16012025
VE;16012025;A25-0018;Avoir MUTEVELLI SUREKCI;25.57;0;411SUREKCI2;4110000;;16012025
VE;16012025;A25-0018;Avoir MUTEVELLI SUREKCI;0;24.24;;7070000;;16012025
VE;16012025;A25-0018;Avoir MUTEVELLI SUREKCI;0;1.33;;4457151;;16012025
VE;16012025;A25-0019;Avoir MUTEVELLI MARCHE SARL (KOENIGSHOFFEN);158.09;0;411MUTEKO2;4110000;;16012025
VE;16012025;A25-0019;Avoir MUTEVELLI MARCHE SARL (KOENIGSHOFFEN);0;149.85;;7070000;;16012025
VE;16012025;A25-0019;Avoir MUTEVELLI MARCHE SARL (KOENIGSHOFFEN);0;8.24;;4457151;;16012025
VE;16012025;A25-0020;Avoir ACHOUR ET FILS;120.11;0;411005274;4110000;;16012025
VE;16012025;A25-0020;Avoir ACHOUR ET FILS;0;113.85;;7070000;;16012025
VE;16012025;A25-0020;Avoir ACHOUR ET FILS;0;6.26;;4457151;;16012025
VE;16012025;A25-0021;Avoir MUTEVELLI MARCHE DE STRASBOURG SARL;287.1;0;4110011492;4110000;;16012025
VE;16012025;A25-0021;Avoir MUTEVELLI MARCHE DE STRASBOURG SARL;0;272.13;;7070000;;16012025
VE;16012025;A25-0021;Avoir MUTEVELLI MARCHE DE STRASBOURG SARL;0;14.97;;4457151;;16012025
VE;16012025;F25-00692;Facture DISCOUNT VIANDE;0;10;411DISC21;4110000;;03022025
VE;16012025;F25-00692;Facture DISCOUNT VIANDE;10;0;;7087000;;03022025
VE;16012025;F25-00693;Facture RAHMA BOUCHERIE;0;10;411RAHMA;4110000;;03022025
VE;16012025;F25-00693;Facture RAHMA BOUCHERIE;10;0;;7087000;;03022025
VE;16012025;F25-00694;Facture SAS CARNELIA VIANDES;0;10;411005126;4110000;;06022025
VE;16012025;F25-00694;Facture SAS CARNELIA VIANDES;10;0;;7087000;;06022025
VE;17012025;F25-00695;Facture RAHMA BOUCHERIE;0;10;411RAHMA;4110000;;04022025
VE;17012025;F25-00695;Facture RAHMA BOUCHERIE;10;0;;7087000;;04022025
VE;18012025;F25-00697;Facture ARIANA BAD SACKINGEN;0;4351.58;411ARI002;4110000;;28012025
VE;18012025;F25-00697;Facture ARIANA BAD SACKINGEN;4351.58;0;;7079120;;28012025
VE;18012025;F25-00698;Facture ASSOCIATION DES TRAVAILLEURS TURCS DE DOLE;0;659.33;411ASSDETD;4110000;;05022025
VE;18012025;F25-00698;Facture ASSOCIATION DES TRAVAILLEURS TURCS DE DOLE;624.96;0;;7070000;;05022025
VE;18012025;F25-00698;Facture ASSOCIATION DES TRAVAILLEURS TURCS DE DOLE;34.37;0;;4457151;;05022025
VE;18012025;F25-00699;Facture AT TAIBETTE;0;2598.26;411ATTAIBA;4110000;;05022025
VE;18012025;F25-00699;Facture AT TAIBETTE;2462.81;0;;7070000;;05022025
VE;18012025;F25-00699;Facture AT TAIBETTE;135.45;0;;4457151;;05022025
VE;18012025;F25-00700;Facture CHICKEN CHIPS;0;4222.9;411BAY001;4110000;;05022025
VE;18012025;F25-00700;Facture CHICKEN CHIPS;4002.75;0;;7070000;;05022025
VE;18012025;F25-00700;Facture CHICKEN CHIPS;220.15;0;;4457151;;05022025
VE;18012025;F25-00701;Facture A DEUX MAINS S.A.R.L;0;1238.04;411ADEUXMA;4110000;;05022025
VE;18012025;F25-00701;Facture A DEUX MAINS S.A.R.L;1173.5;0;;7070000;;05022025
VE;18012025;F25-00701;Facture A DEUX MAINS S.A.R.L;64.54;0;;4457151;;05022025
VE;18012025;F25-00702;Facture AISSAOUI BOUCHERIE;0;178.58;411BOU027;4110000;;08022025
VE;18012025;F25-00702;Facture AISSAOUI BOUCHERIE;169.27;0;;7070000;;08022025
VE;18012025;F25-00702;Facture AISSAOUI BOUCHERIE;9.31;0;;4457151;;08022025
VE;18012025;F25-00703;Facture BOULEMNAKHER BOUCHERIE;0;9100.47;411BOU061;4110000;;05022025
VE;18012025;F25-00703;Facture BOULEMNAKHER BOUCHERIE;8626.04;0;;7070000;;05022025
VE;18012025;F25-00703;Facture BOULEMNAKHER BOUCHERIE;474.43;0;;4457151;;05022025
VE;18012025;F25-00704;Facture LE SAPHIR SARL MULH VOLAILLES;0;12701.54;411BOUSAPH;4110000;;07022025
VE;18012025;F25-00704;Facture LE SAPHIR SARL MULH VOLAILLES;12039.37;0;;7070000;;07022025
VE;18012025;F25-00704;Facture LE SAPHIR SARL MULH VOLAILLES;662.17;0;;4457151;;07022025
VE;18012025;F25-00705;Facture CAFE RESTAURANT AU BONS AMIS;0;418.67;411CAF001;4110000;;25012025
VE;18012025;F25-00705;Facture CAFE RESTAURANT AU BONS AMIS;396.84;0;;7070000;;25012025
VE;18012025;F25-00705;Facture CAFE RESTAURANT AU BONS AMIS;21.83;0;;4457151;;25012025
VE;18012025;F25-00706;Facture CHEZ DEDE ALIMENTATION;0;1442.54;411CHEZDED;4110000;;08022025
VE;18012025;F25-00706;Facture CHEZ DEDE ALIMENTATION;1367.34;0;;7070000;;08022025
VE;18012025;F25-00706;Facture CHEZ DEDE ALIMENTATION;75.2;0;;4457151;;08022025
VE;18012025;F25-00707;Facture COMESTIBLES WURTZ SARL;0;196.55;411COMES;4110000;;05022025
VE;18012025;F25-00707;Facture COMESTIBLES WURTZ SARL;186.3;0;;7070000;;05022025
VE;18012025;F25-00707;Facture COMESTIBLES WURTZ SARL;10.25;0;;4457151;;05022025
VE;18012025;F25-00708;Facture DELICE DE FATIH;0;168.69;411DEL004;4110000;;05022025
VE;18012025;F25-00708;Facture DELICE DE FATIH;159.9;0;;7070000;;05022025
VE;18012025;F25-00708;Facture DELICE DE FATIH;8.79;0;;4457151;;05022025
VE;18012025;F25-00709;Facture DOGANAY MARKET WEIL AM RHEIN;0;5414.81;411DOG001;4110000;;05022025
VE;18012025;F25-00709;Facture DOGANAY MARKET WEIL AM RHEIN;5309.81;0;;7079120;;05022025
VE;18012025;F25-00709;Facture DOGANAY MARKET WEIL AM RHEIN;105;0;;7079130;;05022025
VE;18012025;F25-00710;Facture EDA MARKET;0;771.12;411EDA;4110000;;05022025
VE;18012025;F25-00710;Facture EDA MARKET;730.92;0;;7070000;;05022025
VE;18012025;F25-00710;Facture EDA MARKET;40.2;0;;4457151;;05022025
VE;18012025;F25-00711;Facture EPICERIE COURTOISE;0;1105.33;411EPI011;4110000;;05022025
VE;18012025;F25-00711;Facture EPICERIE COURTOISE;1047.71;0;;7070000;;05022025
VE;18012025;F25-00711;Facture EPICERIE COURTOISE;57.62;0;;4457151;;05022025
VE;18012025;F25-00712;Facture SEFA MARKET;0;820.03;411FRUITDE;4110000;;02022025
VE;18012025;F25-00712;Facture SEFA MARKET;777.28;0;;7070000;;02022025
VE;18012025;F25-00712;Facture SEFA MARKET;42.75;0;;4457151;;02022025
VE;18012025;F25-00713;Facture TUNA DISCOUNT SAS;0;3174.54;411TUN001;4110000;;08022025
VE;18012025;F25-00713;Facture TUNA DISCOUNT SAS;3009.04;0;;7070000;;08022025
VE;18012025;F25-00713;Facture TUNA DISCOUNT SAS;165.5;0;;4457151;;08022025
VE;18012025;F25-00714;Facture LE SAPHIR BELFORT VOLAILLES 3;0;10171.86;411BOU046;4110000;;05022025
VE;18012025;F25-00714;Facture LE SAPHIR BELFORT VOLAILLES 3;9641.57;0;;7070000;;05022025
VE;18012025;F25-00714;Facture LE SAPHIR BELFORT VOLAILLES 3;530.29;0;;4457151;;05022025
VE;18012025;F25-00715;Facture LA MEDINA;0;234.62;411LA0018;4110000;;25012025
VE;18012025;F25-00715;Facture LA MEDINA;222.39;0;;7070000;;25012025
VE;18012025;F25-00715;Facture LA MEDINA;12.23;0;;4457151;;25012025
VE;18012025;F25-00716;Facture LA PERLE D'ORIENT;0;2708.65;411LAPERLE;4110000;;05022025
VE;18012025;F25-00716;Facture LA PERLE D'ORIENT;2567.44;0;;7070000;;05022025
VE;18012025;F25-00716;Facture LA PERLE D'ORIENT;141.21;0;;4457151;;05022025
VE;18012025;F25-00717;Facture LE PRINCE;0;240.22;411LE0018;4110000;;18012025
VE;18012025;F25-00717;Facture LE PRINCE;227.7;0;;7070000;;18012025
VE;18012025;F25-00717;Facture LE PRINCE;12.52;0;;4457151;;18012025
VE;18012025;F25-00718;Facture NARLI MARKET;0;1286.33;411NAR001;4110000;;08022025
VE;18012025;F25-00718;Facture NARLI MARKET;1286.33;0;;7079120;;08022025
VE;18012025;F25-00719;Facture PRO INTER (MUTZIG);0;3177.66;411PRO011;4110000;;05022025
VE;18012025;F25-00719;Facture PRO INTER (MUTZIG);3012;0;;7070000;;05022025
